c. 1011 a.C.,c. 1011 a.C.,Davi se infiltra no acampamento de Saul e leva sua lança,"Davi, Abisai e Saul",Judá,Outeiro de Haquila (Zife),Davi e Abisai entram à noite no acampamento de Saul enquanto todos dormiam; Davi impede Abisai de matá-lo e pega apenas a lança e a botija de água.,1 Samuel 26:1-25
c. 1011 a.C.,c. 1010 a.C.,Refúgio de Davi entre os filisteus e cessão de Ziclague,Davi e Aquis (rei de Gate),Filístia,Gate / Ziclague,"Desconfiando que Saul ainda o alcançaria, Davi se refugia na Filístia com 600 homens; o rei Aquis lhe concede a cidade de Ziclague como posse permanente.",1 Samuel 27:1-12
c. 1010 a.C.,c. 1010 a.C.,Consulta de Saul à necromante de En-Dor,Saul e Feiticeira de En-Dor,Issacar,En-Dor,"Sem respostas por sonhos, Urim ou profetas, Saul se disfarça e consulta uma médium em En-Dor; a visão de Samuel anuncia sua derrota e morte para o dia seguinte.",1 Samuel 28:1-25
c. 1010 a.C.,c. 1010 a.C.,Saque amalequita a Ziclague e resgate efetuado por Davi,Davi e Amalequitas,Filístia / Negebe,Ziclague / Ribeiro de Besor,"Na ausência das tropas, amalequitas queimam Ziclague e levam as mulheres e crianças; Davi consulta a Deus, persegue o inimigo e resgata tudo e todos intactos.",1 Samuel 30:1-31
c. 1010 a.C.,c. 1010 a.C.,Batalha do Monte Gilboa e morte de Saul e Jônatas,"Saul, Jônatas e Filisteus",Issacar / Manassés Ocidental,Monte Gilboa / Bete-Seã,"Os filisteus esmagam o exército israelita; Jônatas é morto, Saul é gravemente ferido por flechas e se lança sobre a própria espada. Moradores de Jabes resgatam os corpos.",1 Samuel 31:1-13; 2 Samuel 1:1-27
c. 1010 a.C.,c. 1003 a.C.,Unção de Davi como Rei de Judá em Hebrom,Davi e Povo de Judá,Judá,Hebrom,"Davi consulta a Deus e sobe a Hebrom, onde os homens de Judá o ungem como seu rei, iniciando um reinado regional de 7 anos e meio.",2 Samuel 2:1-7
c. 1010 a.C.,c. 970 a.C.,Ministério Profético,Natã / Gade (Profetas),Israel (Unido),,,
c. 1010 a.C.,c. 970 a.C.,Sumo Sacerdócio (início),Abiatar (Sumo Sacerdote),Israel (Unido),,,
c. 1010 a.C.,c. 1003 a.C.,Aclamação de Isbosete por Abner e Guerra Civil entre as casas,"Abner, Isbosete, Joabe e Asael",Gileade (Gade) / Benjamim,Maanaim / Tanque de Gibeão,"Abner proclama Isbosete (filho de Saul) rei em Maanaim; os dois exércitos se enfrentam em Gibeão; Abner mata Asael, irmão de Joabe, em legítima defesa de fuga.",2 Samuel 2:8-32
c. 1005 a.C.,c. 1003 a.C.,Aliança e assassinato de Abner por Joabe em Hebrom,"Abner, Davi e Joabe",Judá,Hebrom,"Abner rompe com Isbosete, negocia a união das tribos sob Davi e devolve Mical; contudo, Joabe mata Abner traiçoeiramente no portão de Hebrom por vingança.",2 Samuel 3:6-39
c. 1003 a.C.,c. 1003 a.C.,Assassinato de Isbosete e execução dos conspiradores,"Isbosete, Recabe e Baaná",Gileade (Gade) / Judá,Maanaim / Hebrom,Dois capitães de Isbosete o decapitam enquanto dormia e levam a cabeça a Davi esperando recompensa; Davi reprova a covardia e ordena a execução de ambos.,2 Samuel 4:1-12
c. 1003 a.C.,c. 1003 a.C.,Aclamação de Davi sobre todo o Israel e Conquista de Jerusalém,"Davi, Anciãos e Jebuseus",Judá / Benjamim,Hebrom / Jerusalém (Jebus),"Todas as tribos ungem Davi rei em Hebrom. Davi marcha contra a fortaleza jebuseia de Jerusalém, toma a fortaleza de Sião e estabelece ali sua capital unificada.",2 Samuel 5:1-12
c. 1000 a.C.,c. 1000 a.C.,"Traslado da Arca, morte de Uzá e júbilo na Cidade de Davi","Davi, Uzá e Obede-Edom",Benjamim / Judá,Quiriat-Jearim / Eira de Nacom / Jerusalém,"Ao mover a Arca sem os ombros levíticos, Uzá toca na Arca e morre; após três meses abençoados na casa de Obede-Edom, Davi conduz a Arca com danças a Jerusalém.",2 Samuel 6:1-23
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Rúben sob o rei Davi,Eliezer (filho de Zicri),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Simeão sob o rei Davi,Sefatias (filho de Maaca),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Levi sob o rei Davi,Hasabias (filho de Kemuel),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Líder dos Levitas sacerdotes (Casa de Arão),Zadoque,Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Judá sob o rei Davi,Eliú (irmão de Davi),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Issacar sob o rei Davi,Onri (filho de Micael),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Zebulom sob o rei Davi,Ismaías (filho de Obadias),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Naftali sob o rei Davi,Jerimote (filho de Azriel),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Efraim sob o rei Davi,Oseias (filho de Azazias),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador de Manassés Ocidental sob o rei Davi,Joel (filho de Pedaías),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador de Manassés Oriental (Gileade) sob Davi,Ido (filho de Zacarias),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Benjamim sob o rei Davi,Jaasiel (filho de Abner),Israel,,,
c. 1000 a.C.,c. 970 a.C.,Governador tribal de Dã sob o rei Davi,Azarel (filho de Jereão),Israel,,,
c. 995 a.C.,c. 995 a.C.,Anúncio do Pacto Davídico pelo Profeta Natã,Davi e Profeta Natã,Judá / Benjamim,Jerusalém,Davi deseja edificar um Templo para Deus; o profeta Natã transmite a revelação divina de que Deus edificará uma casa e um trono eterno para a descendência de Davi.,2 Samuel 7:1-29
c. 995 a.C.,c. 985 a.C.,Expansão militar e subjugação dos impérios vizinhos,"Davi, Joabe e Tropas",Filístia / Moabe / Síria / Edom,Gate / Vale do Sal / Damasco / Rabá,"Davi estabelece guarnições e impõe tributos sobre os filisteus, moabitas, arameus de Damasco, edomitas e amonitas, expandindo as fronteiras do reino.",2 Samuel 8:1-18; 2 Samuel 10:1-19
c. 993 a.C.,c. 993 a.C.,"Misericórdia de Davi para com Mefibosete, filho de Jônatas","Davi, Mefibosete e Ziba",Judá / Benjamim,Lodebar / Jerusalém,"Davi procura por sobreviventes da casa de Saul por amor a Jônatas; encontra Mefibosete (coxo de ambos os pés), restitui-lhe as terras do avô e o acolhe à sua mesa.",2 Samuel 9:1-13
c. 990 a.C.,c. 990 a.C.,"Pecado com Bate-Seba e conspiração contra Urias, o heteu","Davi, Bate-Seba, Urias e Joabe",Judá / Amom,Jerusalém / Rabá de Amom,"Na época das guerras, Davi permanece no palácio, adúltera com Bate-Seba e ordena a Joabe que posicione o fiel soldado Urias na frente da batalha para ser morto.",2 Samuel 11:1-27
c. 989 a.C.,c. 989 a.C.,"Repreensão de Natã, a parábola da ovelhinha e a morte do bebê","Davi, Profeta Natã e Bate-Seba",Judá / Benjamim,Jerusalém,"Natã expõe o pecado de Davi através da parábola do homem rico que roubou a ovelha do pobre; Davi se arrepende, mas o filho nascido do adultério adoece e morre.",2 Samuel 12:1-23
c. 988 a.C.,c. 988 a.C.,Nascimento de Salomão (Jedidias),"Davi, Bate-Seba e Salomão",Judá / Benjamim,Jerusalém,"Bate-Seba concebe novamente e dá à luz Salomão; o Senhor o ama e envia o profeta Natã para chamá-lo de Jedidias (""Amado pelo Senhor"").",2 Samuel 12:24-25
c. 985 a.C.,c. 983 a.C.,Abuso de Tamar por Amnom e vingança de Absalão,"Amnom, Tamar e Absalão",Judá / Gesur,Jerusalém / Baal-Hazor / Gesur,"Amnom violentamente abusa de sua meia-irmã Tamar; dois anos depois, Absalão convida os príncipes para a tosquia em Baal-Hazor, mata Amnom e foge para Gesur.",2 Samuel 13:1-39
c. 980 a.C.,c. 980 a.C.,Astúcia da mulher de Tecoa e retorno de Absalão a Jerusalém,"Joabe, Mulher de Tecoa, Davi e Absalão",Judá,Tecoa / Jerusalém,Joabe envia uma mulher sábia de Tecoa com uma parábola fictícia para convencer Davi a permitir o retorno de Absalão do exílio de três anos em Gesur.,2 Samuel 14:1-33
c. 980 a.C.,c. 980 a.C.,Conspiração de Absalão em Hebrom e fuga de Davi,"Absalão, Davi, Aitofel e Husai",Judá / Benjamim,Hebrom / Jerusalém / Monte das Oliveiras,"Absalão atrai o povo, rouba o coração dos israelitas e se proclama rei em Hebrom; Davi foge descalço e chorando sobre o Monte das Oliveiras para evitar massacre na cidade.",2 Samuel 15:1-37
c. 980 a.C.,c. 980 a.C.,"Aconselhamento de Aitofel, a astúcia de Husai e o suicídio de Aitofel","Absalão, Husai e Aitofel",Judá / Benjamim,Jerusalém,"Husai finge lealdade a Absalão para frustrar o plano militar certeiro de Aitofel; vendo seu conselho rejeitado, Aitofel volta para sua cidade e se enforca.",2 Samuel 16:15–17:23
c. 980 a.C.,c. 980 a.C.,Batalha da Floresta de Efraim e morte violenta de Absalão,"Absalão, Joabe e Tropas de Davi",Gileade (Gade),Floresta de Efraim (Transjordânia),"O exército rebelde é derrotado; Absalão fica preso pelos cabelos nos galhos de um grande carvalho e é transpassado por Joabe, gerando amargo pranto em Davi.",2 Samuel 18:1-33
c. 978 a.C.,c. 978 a.C.,"Insubordinação de Seba, filho de Bicri, e decapitação em Abel","Seba, Joabe e Mulher Sábia",Benjamim / Naftali,Gibeão / Abel-Bete-Maaca,"Seba lidera uma insurreição das tribos do norte; Joabe o cerca na cidade murada de Abel-Bete-Maaca, e os moradores entregam a cabeça cortada de Seba pela muralha.",2 Samuel 20:1-22
c. 976 a.C.,c. 976 a.C.,Fome de três anos e a reparação solicitada pelos gibeonitas,"Davi, Gibeonitas e Rizpa",Benjamim,Gibeá de Saul / Gibeão,Fome atinge a terra porque Saul havia violado o juramento feito aos gibeonitas; sete descendentes masculinos de Saul são entregues para enforcamento em Gibeá.,2 Samuel 21:1-14
c. 975 a.C.,c. 975 a.C.,"Censo orgulhoso, peste devastadora e compra da eira de Araúna","Davi, Profeta Gade e Araúna",Judá / Benjamim,Monte Moriá (Jerusalém),Davi realiza um censo militar ilegítimo; o profeta Gade apresenta três opções de juízo; a peste mata 70.000 homens; Davi compra a eira de Araúna para erguer o altar.,2 Samuel 24:1-25
Ano Início,Ano Fim,Evento,Personagem,Região,Local,Detalhes,Referência bíblica
c. 970 a.C.,c. 970 a.C.,Conspiração de Adonias e unção de Salomão como rei,"Adonias, Salomão, Zadoque e Natã",Judá / Benjamim,Fonte de En-Rogel / Gion (Jerusalém),Adonias tenta usurpar o trono com apoio de Joabe e Abiatar; Davi ordena que Zadoque e Natã levem Salomão à fonte de Gion e o unjam rei de Israel.,1 Reis 1:1-53; 1 Crônicas 23:1
c. 970 a.C.,c. 970 a.C.,Morte de Davi e consolidação do reino de Salomão,"Davi, Salomão, Joabe, Simei e Abiatar",Judá / Benjamim,Jerusalém / Anatote,"Davi falece aos 70 anos e é sepultado na Cidade de Davi. Salomão executa Adonias e Joabe, confina Simei e destitui Abiatar do sacerdócio.",1 Reis 2:1-46; 1 Crônicas 29:26-30
c. 970 a.C.,c. 970 a.C.,Visão de Salomão em Gibeão e pedido de sabedoria,Salomão e Deus,Benjamim,Alto de Gibeão,"Salomão oferece mil holocaustos em Gibeão; Deus lhe aparece em sonho e concede sabedoria, riquezas e honra incomparáveis para governar o povo.",1 Reis 3:1-15; 2 Crônicas 1:1-13
c. 966 a.C.,c. 959 a.C.,Construção do Primeiro Templo de Jerusalém,Salomão e Hiram (Rei de Tiro),Judá / Benjamim,Monte Moriá (Jerusalém),"No quarto ano do reinado de Salomão, iniciam-se as obras do Templo no Monte Moriá, concluídas em sete anos com cedros do Líbano e cantaria fina.",1 Reis 6:1-38; 2 Crônicas 3:1-17
c. 959 a.C.,c. 959 a.C.,Dedicação do Templo e a Descida da Glória Divina,"Salomão, Sacerdotes e Todo o Israel",Judá / Benjamim,Monte Moriá (Jerusalém),A Arca da Aliança é colocada no Santo dos Santos; a nuvem da glória enche o Templo e fogo do céu consome os holocaustos durante 14 dias de festa.,1 Reis 8:1-66; 2 Crônicas 5:1–7:10
c. 950 a.C.,c. 950 a.C.,Visita da Rainha de Sabá para testar a sabedoria de Salomão,Salomão e Rainha de Sabá,Judá / Sabá (Arábia),Jerusalém,"A Rainha de Sabá viaja com grande comitiva para testar Salomão com perguntas difíceis, contemplando a magnificência de sua corte e glória do Templo.",1 Reis 10:1-13; 2 Crônicas 9:1-12
c. 940 a.C.,c. 931 a.C.,"Período de atuação do Profeta Aías, o silonita",Profeta Aías,Efraim,Siló / Jerusalém,"Profeta do Reino do Norte; rasgou sua capa nova em 12 pedaços e deu 10 a Jeroboão, profetizando a divisão do reino e mais tarde a queda de sua casa.",1 Reis 11:29-39; 1 Reis 14:1-18
c. 931 a.C.,c. 931 a.C.,"Idolatria de Salomão, morte e a Cisão do Reino","Salomão, Roboão e Jeroboão I",Judá / Efraim,Jerusalém / Siquém,"Salomão desvia seu coração com esposas estrangeiras; após sua morte, Roboão rejeita o conselho dos anciãos em Siquém e 10 tribos aclamam Jeroboão I.",1 Reis 11:1–12:20; 2 Crônicas 10:1-19
c. 931 a.C.,c. 931 a.C.,Erigimento dos Bezerros de Ouro por Jeroboão I,Jeroboão I e Povo de Israel,Dã / Efraim,Dã / Betel,"Para evitar que as tribos do norte subissem a Jerusalém, Jeroboão constrói dois altares idólatras com bezerros de ouro nas extremidades de seu reino.",1 Reis 12:25-33
c. 931 a.C.,c. 913 a.C.,Atuação do Profeta Semaías no Reino de Judá,Profeta Semaías,Judá / Benjamim,Jerusalém,Impede Roboão de guerrear contra as 10 tribos no momento da cisão e mais tarde comunica o juízo divino durante a invasão do faraó Sisaque.,1 Reis 12:21-24; 2 Crônicas 12:5-8
c. 925 a.C.,c. 925 a.C.,"Saque do Templo e do Palácio por Sisaque, rei do Egito",Roboão e Faraó Sisaque I,Judá / Egito,Jerusalém,O faraó Sisaque invade Judá e despoja os tesouros do Templo e os escudos de ouro de Salomão; Roboão os substitui por escudos de bronze.,1 Reis 14:25-28; 2 Crônicas 12:1-12
c. 913 a.C.,c. 910 a.C.,Batalha do Monte Zemaraim e vitória de Abias sobre Jeroboão,Abias (Rei de Judá) e Jeroboão I,Efraim / Judá,Monte Zemaraim,"Abias discursa contra a apostasia de Jeroboão; cercado pelo exército de Israel, Judá clama ao Senhor, que fere Jeroboão e concede vitória a Judá.",1 Reis 15:1-8; 2 Crônicas 13:1-22
c. 911 a.C.,c. 870 a.C.,Reinado e reformas religiosas do Rei Asa em Judá,Asa e Profeta Azarias,Judá,Jerusalém / Vale de Zefata,"Asa remove os ídolos de Judá, vence o exército de milhão de Zerá, o etíope, mas no fim da vida alia-se a Ben-Hadade da Síria e morre com enfermidade nos pés.",1 Reis 15:9-24; 2 Crônicas 14:1–16:14
c. 885 a.C.,c. 885 a.C.,Guerra civil em Israel e fundação da capital Samaria,"Omri, Zinri e Tibni",Manassés Ocidental,Tirza / Monte Samaria,"Zinri reina 7 dias e se queima no palácio; Omri vence a facção de Tibni, compra o monte de Semer por dois talentos de prata e funda a cidade de Samaria.",1 Reis 16:15-28
c. 874 a.C.,c. 853 a.C.,Introdução do culto a Baal por Acabe e Jezabel,Acabe e Jezabel,Manassés Ocidental,Samaria / Jezreel,"Acabe casa-se com Jezabel de Sidom, erige um templo a Baal em Samaria e estabelece a perseguição estatal aos profetas de Yahweh.",1 Reis 16:29-34
c. 870 a.C.,c. 848 a.C.,"Reinado próspero, reformas e instrução da Lei por Josafá",Josafá e Levitas,Judá,Jerusalém / Cidades de Judá,Josafá envia príncipes e levitas com o Livro da Lei para instruir todas as cidades de Judá e estabelece juízes tementes a Deus por todo o país.,1 Reis 22:41-50; 2 Crônicas 17:1–20:30
c. 863 a.C.,c. 852 a.C.,"Período de vida e ministério do Profeta Elias, o tisbita",Profeta Elias,Gileade / Israel,Ribeiro de Querite / Sarepta / Monte Carmelo,"Enfrentou a tirania de Acabe e Jezabel; orou para fechar e abrir os céus, ressuscitou o filho da viúva e foi elevado ao céu num redemoinho com carro de fogo.",1 Reis 17:1 – 2 Reis 2:12
c. 860 a.C.,c. 860 a.C.,Desafio do Monte Carmelo e o fogo do céu,Elias e 450 Profetas de Baal,Aser / Naftali,Monte Carmelo,"Elias desafia os profetas de Baal; após estes clamarem em vão, Elias restaura o altar de Yahweh, ora e fogo desce consumindo o holocausto e a água.",1 Reis 18:19-40
c. 855 a.C.,c. 855 a.C.,Assassinato de Nabote e a usurpação da vinha de Jezreel,"Nabote, Jezabel e Acabe",Issacar,Jezreel,Jezabel arquiteta o apedrejamento falso de Nabote para tomar sua vinha; Elias confronta Acabe no local e profetiza a morte violenta do casal real.,1 Reis 21:1-29
c. 853 a.C.,c. 853 a.C.,Profecia de Micaías e morte de Acabe em Ramote-Gileade,"Acabe, Josafá e Profeta Micaías",Transjordânia (Gade),Ramote-Gileade,"Micaías ben Imlá profetiza a derrota de Israel; Acabe entra disfarçado no combate, mas é atingido por uma flecha disparada ao acaso e morre em seu carro.",1 Reis 22:1-40; 2 Crônicas 18:1-34
c. 852 a.C.,c. 796 a.C.,Período de vida e ministério do Profeta Eliseu ben Safate,Profeta Eliseu,Manassés / Efraim,Samaria / Suném / Dotã / Rio Jordão,"Sucessor de Elias; realizou o dobro de milagres (purificação de águas, azeite da viúva, cura da lepra de Naamã, hachado flutuante e libertação de Samaria).",2 Reis 2:13 – 2 Reis 13:21
c. 850 a.C.,c. 796 a.C.,Vida e sacerdócio do Sumo Sacerdote Joiada (130 anos),Joiada e Jeosabeate,Judá,Jerusalém,"Sacerdote fiel que preservou a linhagem davídica escondendo o bebê Joás por 6 anos, liderou a derrubada de Atalia e faleceu com honras de rei aos 130 anos.",2 Reis 11:1–12:16; 2 Crônicas 22:10–24:16
c. 841 a.C.,c. 841 a.C.,"Golpe de Jeú, morte de Jezabel e destruição da casa de Acabe","Jeú, Jorão, Acazias e Jezabel",Issacar / Manassés,Jezreel / Samaria,"Ungido por ordem de Eliseu, Jeú mata Jorão de Israel e Acazias de Judá, manda lançar Jezabel da janela e extermina os 70 filhos de Acabe e os cultos a Baal.",2 Reis 9:1–10:36; 2 Crônicas 22:7-9
c. 841 a.C.,c. 835 a.C.,Usurpação de Atalia e o resgate do menino Joás no Templo,"Atalia, Jeosabeate e Joiada",Judá,Jerusalém (Templo),Atalia massacra os príncipes da casa real para usurpar o trono de Judá; a princesa Jeosabeate esconde o bebê Joás no Templo por 6 anos até a coroação por Joiada.,2 Reis 11:1-21; 2 Crônicas 22:10–23:21
c. 835 a.C.,c. 835 a.C.,Martírio do Profeta Zacarias ben Joiada no pátio do Templo,Profeta Zacarias e Rei Joás,Judá,Pátio do Templo (Jerusalém),"Após a morte de Joiada, Joás desvia-se; o profeta Zacarias repreende a apostasia dos príncipes e é apedrejado até a morte por ordem do próprio rei que seu pai salvou.",2 Crônicas 24:17-22
c. 793 a.C.,c. 753 a.C.,Expansão e prosperidade do Reino do Norte sob Jeroboão II,Jeroboão II e Profeta Jonas,Manassés / Zebulom,Samaria / Gat-Hefer,"Conforme a profecia de Jonas ben Amitai, Jeroboão II restaura os limites de Israel desde Hamate até ao mar da Arabá em um período de grande fartura material.",2 Reis 14:23-29
c. 792 a.C.,c. 740 a.C.,Reinado de Uzias (Azarias) e o juízo de lepra no Templo,Uzias (Azarias) e Azarias (Sacerdote),Judá,Jerusalém (Santuário),"Uzias prospera militarmente e tecnologicamente, mas comete orgulho ao entrar no Santo Lugar para queimar incenso; é confrontado por 80 sacerdotes e fica leproso.",2 Reis 15:1-7; 2 Crônicas 26:1-23
c. 740 a.C.,c. 681 a.C.,Atuação do Profeta Isaías ben Amoz no Reino de Judá,Profeta Isaías,Judá,Jerusalém,"Exerceu ministério nos reinados de Uzias, Jotão, Acaz e Ezequias; profetizou sobre o Messias, encorajou Ezequias durante o cerco assírio e anunciou o cativeiro.",2 Reis 19:1-20; 2 Crônicas 26:22; 32:20-32
c. 735 a.C.,732 a.C.,Invasão de Tiglate-Pileser III e profanação de Acaz,Acaz e Tiglate-Pileser III,Judá / Assíria,Jerusalém / Damasco,"Acaz tira o ouro do Templo para pagar tributo à Assíria, fecha as portas do Templo e manda copiar um altar pagão de Damasco para substituir o altar de bronze.",2 Reis 16:1-20; 2 Crônicas 28:1-27
722 a.C.,722 a.C.,Queda de Samaria e fim do Reino do Norte (Israel),Oséias (Rei) e Salmaneser V / Sargon II,Manassés Ocidental / Assíria,Samaria / Nínive,"Após cerco de 3 anos, Samaria cai perante a Assíria; as 10 tribos são deportadas para a Assíria e a região é repovoada por povos pagãos (origem dos samaritanos).",2 Reis 17:1-41; 2 Reis 18:9-12
c. 715 a.C.,c. 715 a.C.,Grande Reforma de Ezequias e a celebração da Páscoa,"Ezequias, Sacerdotes e Levitas",Judá,Jerusalém,"Ezequias reabre e purifica o Templo, quebra as colunas idólatras, destrói a serpente de bronze (Neustã) e realiza uma imensa Páscoa nacional convidando até o Norte.",2 Reis 18:1-8; 2 Crônicas 29:1–31:21
701 a.C.,701 a.C.,Cerco de Senaqueribe e livramento angelical de Jerusalém,"Ezequias, Isaías e Senaqueribe",Judá / Assíria,Jerusalém / Laquis,"Senaqueribe envia Rabsaqué com blasfêmias contra Deus; Ezequias rasga as vestes e ora no Templo; na mesma noite, o Anjo do Senhor mata 185.000 assírios no arraial.",2 Reis 18:13–19:37; 2 Crônicas 32:1-23
c. 697 a.C.,c. 642 a.C.,"Idolatria extrema de Manassés, prisão e restauração",Manassés,Judá / Assíria,Jerusalém / Babilônia,"O rei mais ímpio de Judá edifica altares aos astros no Templo e queima seus filhos; levado preso em ganchos para a Babilônia, humilha-se, ora e é restaurado ao trono.",2 Reis 21:1-18; 2 Crônicas 33:1-20
c. 640 a.C.,c. 609 a.C.,Atuação da Profetisa Hulda no reinado de Josias,Profetisa Hulda,Judá,Jerusalém (Bairro Novo),"Consultada pelos enviados do rei Josias após o achado do Livro da Lei, confirma os juízos sobre Jerusalém, mas promete que Josias recolheria em paz por seu arrependimento.",2 Reis 22:14-20; 2 Crônicas 34:22-28
c. 622 a.C.,c. 622 a.C.,Descoberta do Livro da Lei e a Grande Reforma de Josias,"Josias, Hilquias (Sacerdote) e Safã",Judá,Jerusalém,"Durante reformas no Templo, o sumo sacerdote Hilquias acha o Livro da Lei; Josias chora ao ouvir a leitura, renova a Aliança e destrói todos os altares idólatras de Israel.",2 Reis 22:1–23:27; 2 Crônicas 34:1–35:19
609 a.C.,609 a.C.,Batalha de Megido e morte trágica do rei Josias,Josias e Faraó Neco II,Manassés Ocidental / Egito,Vale de Megido,"Josias disfarça-se para interceptar o faraó Neco II que marchava para Carquemis; é atingido por flecheiros em Megido, morre a caminho de Jerusalém e é pranteado por Jeremias.",2 Reis 23:28-30; 2 Crônicas 35:20-27
605 a.C.,605 a.C.,Primeira deportação para Babilônia sob Jeoaquim,Jeoaquim e Nabucodonosor II,Judá / Babilônia,Jerusalém / Babilônia,"Nabucodonosor II vence o Egito em Carquemis, marcha sobre Jerusalém, submete Jeoaquim e leva os primeiros cativos nobres (incluindo Daniel e seus companheiros).",2 Reis 24:1-7; 2 Crônicas 36:5-8
597 a.C.,597 a.C.,Segunda deportação babilônica e cativeiro do rei Joaquim,Joaquim (Jeconias) e Nabucodonosor II,Judá / Babilônia,Jerusalém / Babilônia,"Após cerco de 3 meses, o jovem rei Joaquim rende-se a Nabucodonosor, que o leva cativo junto com a rainha-mãe, príncipes, 10.000 artesãos e o profeta Ezequiel.",2 Reis 24:8-17; 2 Crônicas 36:9-10
588 a.C.,586 a.C.,Destruction de Jerusalém e do Templo de Salomão,Zedequias e Nebuzaradã,Judá / Babilônia,Jerusalém,"Após 18 meses de cerco assolado pela fome, os babilônios rompem as muralhas; o Templo é queimado, os utensílios de bronze levados e Zedequias cego e levado preso.",2 Reis 25:1-21; 2 Crônicas 36:11-21
c. 561 a.C.,c. 561 a.C.,Libertação e exaltação do rei Joaquim na Babilônia,Joaquim e Evil-Merodaque,Babilônia,Palácio Real de Babilônia,"No 37º ano do cativeiro, Evil-Merodaque assume o trono de Babilônia, tira o rei Joaquim da prisão, muda suas vestes de prisão e dá-lhe assento de honra à sua mesa.",2 Reis 25:27-30
538 a.C.,538 a.C.,Decreto de Ciro para a reconstrução do Templo em Jerusalém,"Ciro, o Grande (Rei da Pérsia)",Pérsia / Judá,Susã / Jerusalém,"Cumprindo a palavra do Senhor dita pela boca de Jeremias, Ciro promulga um edito autorizando todos os judeus exilados a retornarem e reerguerem o Templo.",2 Crônicas 36:22-23; Esdras 1:1-4
,,,,,,,
,,,,,,,
c. 870 a.C.,c. 845 a.C.,Ministério Profético (Combate a Baal),Elias (Profeta),Israel (Norte),,,
c. 845 a.C.,c. 790 a.C.,Ministério Profético,Eliseu (Profeta),Israel (Norte),,,
c. 790 a.C.,c. 760 a.C.,Ministério Profético em Nínive,Jonas (Profeta),Nínive / Israel,,,
,,,,,,,
c. 785 a.C.,c. 780 a.C.,"Chamado de Jonas, fuga de navio e pregação em Nínive",Jonas,Império Assírio / Zebulom,Gat-Hefer / Mar Mediterrâneo / Nínive,"Jonas tenta fugir da ordem divina para Nínive em um navio rumo a Társis; lançado ao mar durante tempestade, é engolido por um grande peixe e cumpre a pregação, gerando o arrependimento da capital assíria.",Jonas 1:1–4:11; 2 Reis 14:25
c. 760 a.C.,c. 750 a.C.,Profecias de Amós contra a injustiça social e o sacerdócio de Betel,Amós e Amazias (sacerdote),Manassés Ocidental (Reino de Israel) / Judá,Tecoa / Betel / Samaria,"Amós, um simples pastor de Tecoa, é enviado ao Reino do Norte para denunciar a ganância da elite e o culto hipócrita em Betel, sendo confrontado pelo sacerdote idólatra Amazias.",Amós 1:1; 7:10-17
c. 755 a.C.,c. 722 a.C.,Casamento simbólico de Oséias com Gomer e denúncia da apostasia,Oséias e Gomer,Efraim / Manassés (Reino de Israel),Samaria,"Deus ordena a Oséias casar-se com Gomer, uma mulher adúltera, para personificar o amor leal de Yahweh em contraste com a infidelidade espiritual do Reino de Israel.",Oséias 1:1–3:5
c. 740 a.C.,c. 740 a.C.,Visão da Glória de Deus e chamado profético de Isaías,Isaías,Judá (Tribo de Judá),Templo de Jerusalém,"No ano da morte do rei Uzias, Isaías vê o Senhor em um trono alto e sublime cercado por serafins; uma brasa viva do altar purifica seus lábios e ele responde: ""Eis-me aqui, envia-me a mim"".",Isaías 6:1-13
c. 735 a.C.,c. 700 a.C.,Profecias de Miqueias e a revelação do nascimento do Messias,Miqueias,Judá (Tribo de Judá),Moresete-Gate / Belém,"Miqueias denuncia a opressão dos camponeses pelos líderes de Jerusalém, profetiza a ruína do Templo e revela que o Governador eterno de Israel nasceria em Belém-Efrata.",Miqueias 1:1; 3:1-12; 5:2
c. 735 a.C.,c. 735 a.C.,Profecia do sinal de Emanuel ao rei Acaz,Isaías e Rei Acaz,Judá (Tribo de Judá),Jerusalém,"Durante a crise da Guerra Siro-Efraimita, Isaías exorta o rei Acaz a não temer os reis vizinhos e profetiza o sinal: ""Eis que a virgem conceberá e dará à luz um filho e chamará o seu nome Emanuel"".",Isaías 7:1-17
c. 701 a.C.,c. 701 a.C.,Atuação de Isaías durante a invasão de Senaqueribe,Isaías e Rei Ezequias,Judá (Tribo de Judá),Jerusalém,"Isaías encoraja o rei Ezequias a não se render às ameaças do general Rabsaqué, prometendo a intervenção divina que destruiu 185.000 soldados assírios em uma única noite.",Isaías 37:1-38; 2 Reis 19:1-37
